Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Training & Development Specialist 1,,1,Strikeable,4155,4851,5420,696,1265,49860,65040
Training & Development Specialist 1,,2,Strikeable,4356,4851,5420,495,1064,52272,65040
Training & Development Specialist 1,,3,Strikeable,4555,5086,5695,531,1140,54660,68340
Training & Development Specialist 1,,4,Strikeable,4776,5345,5964,569,1188,57312,71568
Training & Development Specialist 1,,5,Strikeable,5019,5598,6245,579,1226,60228,74940
Training & Development Specialist 1,,6,Strikeable,5256,5861,6549,605,1293,63072,78588
Training & Development Specialist 1,,7,Strikeable,5503,6146,6866,643,1363,66036,82392
Training & Development Specialist 1,,8,Strikeable,5771,6444,7206,673,1435,69252,86472
Training & Development Specialist 1,,9,Strikeable,6051,6763,7562,712,1511,72612,90744
Training & Development Specialist 1,,10,Strikeable,6350,7097,7562,747,1212,76200,90744
Training & Development Specialist 2,,1,Strikeable,5019,5861,6549,842,1530,60228,78588
Training & Development Specialist 2,,2,Strikeable,5256,5861,6549,605,1293,63072,78588
Training & Development Specialist 2,,3,Strikeable,5503,6146,6866,643,1363,66036,82392
Training & Development Specialist 2,,4,Strikeable,5771,6444,7206,673,1435,69252,86472
Training & Development Specialist 2,,5,Strikeable,6051,6763,7562,712,1511,72612,90744
Training & Development Specialist 2,,6,Strikeable,6350,7097,7923,747,1573,76200,95076
Training & Development Specialist 2,,7,Strikeable,6664,7436,8314,772,1650,79968,99768
Training & Development Specialist 2,,8,Strikeable,6982,7803,8713,821,1731,83784,104556
Training & Development Specialist 2,,9,Strikeable,7327,8177,9143,850,1816,87924,109716
Training & Development Specialist 2,,10,Strikeable,7678,8581,9143,903,1465,92136,109716
Training & Development Specialist 1,,1,Non-Strikeable,,,,,,,
Training & Development Specialist 1,,2,Non-Strikeable,,,,,,,
Training & Development Specialist 1,,3,Non-Strikeable,,,,,,,
Training & Development Specialist 1,,4,Non-Strikeable,,,,,,,
Training & Development Specialist 1,,5,Non-Strikeable,,,,,,,
Training & Development Specialist 1,,6,Non-Strikeable,,,,,,,
Training & Development Specialist 1,,7,Non-Strikeable,,,,,,,
Training & Development Specialist 1,,8,Non-Strikeable,,,,,,,
Training & Development Specialist 1,,9,Non-Strikeable,,,,,,,
Training & Development Specialist 1,,10,Non-Strikeable,,,,,,,